Feature,Coefficient,Importance,Churn Driver
tenure,-1.2180778886886254,1.2180778886886254,-ve
PhoneService_Yes,-0.7648889614907312,0.7648889614907312,-ve
Contract_Month-to-month,0.7319983193795754,0.7319983193795754,+ve
Contract_Two year,-0.589442196781875,0.589442196781875,-ve
TotalCharges,0.5281650155563601,0.5281650155563601,+ve
MonthlyCharges,0.45110207901189864,0.45110207901189864,+ve
TechSupport_Yes,-0.4133124677695958,0.4133124677695958,-ve
PaperlessBilling_No,-0.40343650143755605,0.40343650143755605,-ve
OnlineSecurity_No,0.38849850530905394,0.38849850530905394,+ve
PaymentMethod_Electronic check,0.38552256342571684,0.38552256342571684,+ve
